X,Y,Z
-4.08,-2.39,9.89
-3.8,-2.0,10.24
-3.61,1.14,10.51
1.22,-4.04,13.53
-2.67,-4.2,9.69
-1.88,-4.51,9.38
-0.27,-3.3,11.65
-4.98,-2.98,9.34
-2.79,-2.71,9.34
-2.35,-2.86,10.43
-1.8,-3.14,9.96
-7.06,-3.77,7.77
-2.0,-3.92,9.45
-1.14,-4.04,10.83
-2.43,-3.06,10.12
-2.47,-2.28,10.63
-2.43,-3.02,10.28
-2.59,-1.33,9.57
0.0,-3.3,10.51
-0.16,-2.47,11.69
-1.45,-2.43,10.55
-2.47,-2.08,11.45
-4.67,-2.51,10.0
-3.92,-1.49,10.59
-2.9,-1.65,10.4
-5.06,-2.75,10.87
-0.24,-3.26,10.67
-1.96,-2.55,10.9
-0.67,-0.78,10.59
-2.59,-1.65,10.24
-2.31,-1.49,11.41
-2.63,-2.04,10.24
-1.26,-0.2,11.92
-2.75,-2.28,11.38
-2.39,-2.75,10.43
-2.67,-2.04,10.32
-4.47,0.0,10.0
-3.41,-1.49,10.24
-3.61,-1.73,10.08
-2.39,-3.41,10.28
-2.28,-2.31,11.06
-1.77,-3.1,10.94
-4.28,-3.45,9.14
-4.08,-2.63,9.65
-4.12,-2.47,10.08
-3.77,-2.39,9.73
-0.51,-2.94,11.61
-2.67,-3.3,10.63
-1.8,-3.49,11.38
-4.24,-1.77,9.96
-3.96,-2.08,9.85
-3.3,-2.43,10.12
-3.14,-2.31,10.0
-1.8,-1.37,12.36
-0.9,-3.88,10.71
-2.63,-2.82,10.75
-2.55,-2.04,10.16
-2.75,-2.82,9.89
-2.67,-3.14,10.36
-3.06,-3.18,9.57
-1.45,-3.37,8.87
-2.79,-3.41,10.47
-1.53,-3.96,10.08
-2.98,-2.75,9.92
-4.98,-3.45,8.94
-3.49,-2.79,10.59
-3.73,-2.98,9.53
0.08,-3.88,10.59
-2.24,-3.84,10.55
-2.28,-3.26,10.28
-3.06,-5.37,9.26
-3.06,-3.06,9.06
-3.45,-1.49,10.2
-3.14,-2.75,9.89
-6.67,-2.04,7.02
-3.84,-3.45,10.55
-1.02,-3.45,11.38
-4.98,-3.14,9.49
-4.59,-3.49,8.98
-3.61,-2.67,9.89
-3.49,-2.71,10.08
-3.96,-2.63,8.24
-2.39,-4.12,9.49
-0.9,-3.3,11.81
-2.71,-3.3,9.45
-3.14,-2.24,10.16
-3.18,-2.59,10.0
-4.04,-3.1,9.53
-8.24,-2.86,9.45
-4.43,-3.22,9.77
-3.57,-2.98,9.96
-2.08,-3.84,10.2
-2.67,-3.88,10.16
-1.96,-4.79,8.83
-3.18,-2.98,9.92
-3.06,-2.9,10.24
-3.41,-2.47,9.61
0.9,-5.06,9.92
-1.26,-3.61,11.06
-6.0,-3.92,7.88
-2.47,-2.63,10.51
-3.1,-2.71,10.0
-3.26,-2.98,10.0
-6.2,-1.92,4.28
-3.96,-3.06,10.94
-2.47,-3.06,10.4
-2.86,-1.02,10.87
-5.1,-3.22,7.81
-3.53,-2.59,10.04
-3.14,-2.08,10.4
-6.83,-2.35,7.41
-3.77,-2.04,11.18
-1.73,-3.06,11.65
-3.41,-2.98,9.45
-4.86,-2.04,9.38
-3.88,-2.35,10.12
-4.16,-2.55,9.69
-5.53,0.0,11.18
-3.53,-2.12,10.4
-1.88,-2.39,11.06
-5.49,-3.41,8.51
-3.45,-2.39,9.73
-3.65,-2.31,10.0
-3.61,-1.77,10.08
-7.14,0.51,11.1
-1.53,-2.82,11.34
-1.57,-2.63,11.38
-4.75,-2.94,9.45
-2.63,1.49,10.04
-3.92,-2.82,9.92
-3.77,-1.57,10.12
-5.18,-2.86,10.43
-2.79,-2.28,10.9
-2.67,-2.51,10.4
-2.55,-0.43,10.71
-4.16,-2.39,9.85
-4.28,-1.57,10.24
-3.96,-1.8,10.0
-1.88,-3.02,10.9
-1.73,-3.06,10.94
-2.08,-3.73,10.4
-2.16,-3.61,10.87
-2.43,-2.24,10.0
-1.69,-2.82,10.43
-1.77,-2.9,10.16
-6.2,-2.59,5.37
-2.94,-2.86,11.18
-1.18,-3.65,10.08
-2.9,-4.28,9.81
-3.3,-2.59,9.57
-2.9,-2.31,10.79
-2.75,-2.47,10.04
-5.22,-1.73,4.86
-3.14,-2.94,11.3
-0.43,-2.63,12.24
-3.22,-2.63,9.3
-4.55,-2.43,9.61
-3.1,-1.61,10.16
-3.69,-2.16,10.0
-2.71,-3.22,12.12
-3.49,-2.82,9.92
-2.39,-3.37,10.9
-6.2,-2.35,8.87
-4.59,-2.71,9.45
-2.86,-1.26,11.34
-3.84,-2.39,9.96
-4.9,-2.86,9.57
-7.53,-2.94,9.61
-5.02,-2.2,9.77
-3.73,-2.67,9.81
-2.75,-2.98,10.67
-4.24,-3.57,9.57
-2.59,-3.37,9.45
-4.0,-2.79,9.81
-3.18,-2.28,10.94
-3.92,-2.08,6.51
-3.53,-3.33,9.92
-2.08,-3.53,10.16
-2.39,-3.14,10.16
-1.8,-3.61,10.12
-1.88,-3.88,10.43
-1.92,-3.8,8.32
-2.47,-2.9,9.3
-2.55,-3.45,10.55
-4.71,-3.49,7.3
-2.0,-3.22,10.79
-1.26,-3.69,10.83
-1.26,-3.1,10.08
-3.53,-2.9,9.57
-3.92,-2.79,10.36
-4.0,-3.06,7.96
-0.71,-3.33,10.75
-2.86,-3.65,10.08
-3.41,-3.69,9.34
-2.98,-2.0,9.96
-3.65,-2.79,9.85
-0.63,-2.04,11.45
-1.14,-4.28,10.71
-2.55,-3.53,11.1
-2.67,-2.08,9.34
-4.71,-2.55,8.87
-3.96,-2.35,10.16
-3.92,-1.45,9.38
-0.04,-3.92,11.18
-1.26,-2.67,12.51
-4.35,-2.9,9.49
-4.55,-2.28,9.89
-3.69,-2.24,10.12
-3.96,-2.08,9.45
-0.75,-2.63,10.83
-1.77,-3.14,10.87
-5.65,-3.41,9.73
-4.47,-1.88,9.38
-4.24,-2.47,10.12
-3.77,-2.08,10.12
-4.94,-1.18,5.81
-2.39,-3.49,11.38
-0.71,-2.79,11.45
-3.37,-2.47,9.92
-3.92,-2.12,9.73
-3.41,-2.51,9.92
-3.84,-2.04,9.61
4.39,-3.14,10.98
-1.73,-2.63,11.06
-2.55,-3.61,9.92
-2.43,-1.14,10.94
-3.3,-2.24,10.28
-3.8,-2.2,9.92
-4.39,-0.98,9.34
0.9,-3.41,12.51
-0.9,-2.55,12.43
-4.9,-3.02,9.41
-3.26,-0.86,10.2
-3.33,-2.28,10.0
-3.77,-2.43,10.28
-3.73,-2.39,7.92
-2.71,-2.67,10.98
-0.94,-3.69,10.9
-0.67,-4.0,10.08
-1.14,-3.96,11.26
-3.02,-4.75,8.08
-3.02,-3.18,9.81
-2.94,-2.16,10.28
-4.08,-4.39,6.98
-2.51,-4.08,10.55
-0.59,-4.51,10.08
-3.96,-2.79,9.69
-5.37,-3.45,10.83
-6.28,-1.65,9.45
-4.63,-2.51,10.59
-4.39,-2.86,9.73
-0.51,-2.2,10.67
-2.43,-2.16,10.87
-2.86,-3.3,11.38
-3.92,-2.2,9.45
-5.06,-1.57,8.51
-3.61,-2.12,10.9
-4.0,-1.92,9.73
-1.22,-1.33,11.1
-2.63,-2.2,11.3
-4.55,-2.43,9.96
-2.75,-0.59,10.71
-5.45,-2.31,10.43
-4.43,-1.22,9.96
-4.86,-2.31,9.3
-9.18,-1.53,9.41
-4.16,-1.69,9.69
-4.0,-1.65,9.89
-1.69,-2.63,12.28
-6.0,-3.57,9.14
-4.63,-1.8,9.3
-3.49,-1.65,10.87
-3.1,-2.51,10.12
-6.12,-0.59,9.61
-3.18,-3.65,10.67
-1.02,-3.22,10.67
-2.08,-1.37,10.32
-6.55,-0.98,8.36
-0.35,-2.71,11.65
-4.31,-3.37,8.67
-0.59,-0.82,11.34
-2.59,-2.67,10.36
-3.33,-2.39,10.24
-3.3,-1.02,9.85
-0.59,-3.61,10.98
-1.22,-3.41,11.38
-2.9,-3.88,9.02
-1.02,-1.22,11.38
-2.0,-1.53,10.83
-2.9,-2.47,10.59
-3.06,-1.61,9.96
-1.33,-3.02,9.14
0.08,-3.33,12.32
-2.71,-3.02,8.87
-1.84,-0.86,10.08
-2.04,-2.51,10.83
-2.31,-2.35,10.2
-4.71,-1.96,6.16
-2.75,-3.3,10.51
-0.04,-3.65,11.81
-5.33,-2.47,8.39
-2.82,-2.67,10.87
-2.51,-1.65,10.08
-2.94,-2.82,10.51
-2.59,-2.43,8.67
-3.06,-3.3,10.16
-1.53,-3.61,10.43
-1.61,-4.51,11.14
-4.9,-2.82,8.32
-2.59,-2.59,9.92
-2.86,-3.45,10.36
-3.26,-4.0,8.98
0.55,-4.47,11.65
-0.63,-3.14,10.87
-1.92,-4.24,10.24
-0.94,-4.28,9.3
-3.1,-3.33,9.49
-2.79,-2.9,10.32
-3.37,-3.18,8.87
-3.22,-3.65,8.28
-2.0,-4.35,10.36
-1.26,-3.61,9.92
-1.65,-4.79,9.73
-1.57,-2.28,9.65
-2.55,-1.88,9.69
-2.04,-3.45,10.4
-2.04,-3.02,11.1
-3.57,-4.51,9.65
-2.0,-1.77,9.92
-3.69,-2.31,10.08
-3.3,-2.04,10.12
-6.16,-2.79,6.63
-4.04,-3.37,10.2
-1.29,-2.55,11.69
-3.88,-3.92,10.0
-3.37,-1.65,9.92
-5.41,-2.28,9.38
-4.16,-2.51,10.04
-4.16,-2.24,9.61
-1.06,-2.39,11.14
-2.94,-2.59,10.75
-4.47,-3.8,8.67
-4.28,-2.71,9.61
-3.88,-1.65,10.2
-3.65,-1.8,9.89
-5.88,-2.16,6.79
-4.0,-2.67,10.2
-1.69,-2.39,11.65
-4.43,-2.94,9.14
-4.28,-0.31,9.96
-3.61,-1.45,10.0
-3.69,-1.1,10.55
-3.88,0.0,9.85
-3.84,-2.0,10.08
-2.43,-1.65,11.96
-3.22,-0.9,10.16
-3.53,-0.86,10.16
-4.04,-1.18,10.59
-4.31,-1.06,9.49
-1.06,-3.18,11.3
0.0,-2.71,12.04
-1.49,-2.75,11.26
-3.96,-2.2,9.81
-4.28,-1.8,9.61
-3.84,-1.96,10.04
-3.41,-1.61,10.4
-3.84,-0.78,8.32
-4.12,-2.55,10.28
-2.43,-2.51,11.45
-4.12,-3.92,9.14
-2.79,-2.2,10.0
-3.8,-1.65,10.32
-3.37,-1.57,10.08
-6.2,-2.2,5.84
-4.75,-3.53,11.26
-2.67,-3.1,10.87
-2.98,-2.63,9.77
-2.55,-2.79,11.41
-2.35,-3.14,10.36
-2.98,-2.59,9.26
0.78,-4.0,10.9
-2.55,-3.77,10.75
-3.41,-3.33,9.85
-2.75,-1.61,10.28
-3.06,-3.37,9.49
-3.14,-3.49,10.04
-3.14,-2.98,10.16
-6.86,-1.57,8.55
-3.96,-3.61,9.45
-2.31,-3.22,10.55
-4.08,-3.88,9.22
-2.35,-3.65,9.81
-3.1,-2.9,9.73
-2.75,-3.73,10.04
-3.3,-4.08,8.83
-1.18,-4.39,9.57
-1.77,-3.77,10.28
-1.73,-4.86,10.04
-1.37,-3.88,9.85
-2.9,-3.65,9.89
-3.22,-3.88,9.92
-3.45,-3.96,9.53
-6.94,-2.71,6.32
-4.55,-3.3,10.0
-2.71,-4.67,9.41
-1.18,-5.22,11.18
-3.65,-4.28,9.53
-1.92,-5.45,10.04
-2.51,-4.86,8.94
-2.79,-4.16,9.85
-3.77,-3.84,6.86
-3.61,-3.02,10.9
-1.33,-4.75,10.83
-3.41,-4.51,9.02
-2.2,-3.92,10.12
-4.04,-3.65,10.94
-0.71,-3.92,11.34
-3.02,-4.55,9.69
-2.82,-3.02,9.61
-3.53,-3.77,9.96
-3.61,-2.55,9.06
0.94,-4.71,10.59
-1.65,-4.24,10.71
-3.41,-3.92,8.71
-2.12,-3.49,10.51
-5.49,-3.84,9.45
-3.96,-2.67,10.0
-4.0,-2.39,9.49
-0.67,-3.22,10.71
-2.04,-3.53,10.71
-1.37,-4.35,10.71
-2.71,-3.02,9.45
-3.57,-2.75,9.92
-3.69,-2.39,9.92
-3.65,-2.31,10.16
-4.55,-1.26,6.67
-3.96,-3.45,10.47
-1.26,-3.45,11.38
-4.28,-2.16,10.16
-2.59,-3.02,10.0
-5.33,-2.51,8.79
-3.45,-2.47,10.2
-3.53,-2.39,9.96
2.9,-3.77,13.02
-1.61,-3.41,10.9
-4.31,-3.1,9.92
-2.63,-2.28,10.67
-4.16,-2.98,9.96
-3.18,-2.82,10.2
-3.3,-2.47,9.89
-6.94,-0.9,9.22
-2.75,-3.61,11.22
-5.02,-3.77,8.87
-3.73,-2.16,10.28
-3.69,-2.63,9.96
-3.45,-2.39,10.24
-7.37,-1.41,8.12
-2.24,-3.49,10.9
-0.9,-3.1,11.92
-1.53,-5.1,9.14
-1.77,-0.67,10.12
-2.82,-2.55,10.63
-3.37,-2.39,10.4
-4.94,-2.39,6.39
-2.71,-3.65,11.18
-0.98,-3.41,11.69
-3.02,-4.59,8.83
-3.14,-2.79,10.9
-3.53,-2.47,10.28
-3.33,-3.18,9.81
-4.2,-2.04,7.49
-3.18,-3.18,10.32
-1.22,-3.37,12.04
-4.86,-2.71,8.47
-1.33,-2.71,10.32
-2.94,-2.0,10.12
-3.53,-2.47,10.12
-4.0,-1.8,9.73
0.98,-3.49,11.92
-2.12,-3.69,10.87
-2.9,-2.43,10.98
-4.24,-0.78,9.06
-3.61,-3.41,10.2
-3.53,-2.24,10.04
-5.26,-2.82,7.49
-3.33,-2.59,11.02
-1.29,-3.3,11.06
-4.0,-2.94,9.22
-2.9,-2.94,9.96
-3.41,-2.67,10.4
-3.49,-2.31,9.96
-4.31,-2.39,8.43
-0.9,-3.88,12.28
-5.22,-2.94,9.1
-5.3,-1.8,9.69
-1.69,-3.41,10.51
-4.67,-3.33,10.04
-2.55,-1.06,10.47
-3.41,-1.77,10.12
-3.73,-2.39,10.04
-3.8,-2.35,9.85
-4.04,-2.82,11.53
-2.24,-2.94,11.06
-4.98,-3.45,9.3
-4.0,-1.69,9.57
-3.65,-2.0,10.28
-3.69,-1.69,9.96
-4.31,-0.55,9.26
-2.75,-2.71,10.16
-3.33,-2.55,10.71
-1.57,-2.86,11.38
-5.77,-2.24,9.1
-5.18,-2.47,9.22
-3.73,-1.77,10.12
-3.53,-1.92,9.85
0.16,-2.51,10.43
-0.78,-2.98,12.51
-4.04,-3.84,9.3
-3.69,-2.47,9.53
-3.77,-1.96,10.32
-3.84,-1.73,10.08
-4.16,-1.29,9.61
-0.55,-2.63,11.18
-3.49,-2.75,10.16
-2.43,-2.82,10.04
-4.0,-2.39,9.53
-4.59,-1.53,9.81
-3.84,-2.08,10.0
-4.0,-1.88,9.96
-3.18,-2.59,11.89
-2.63,-2.47,10.59
-3.26,-2.55,10.71
-3.53,-2.24,10.04
-3.49,-1.02,10.04
-3.77,-1.65,10.28
-4.24,-1.96,9.77
-4.94,-2.31,9.41
